model,horizon,n,acf_lag1,note
fractional,1,13,0.6856332290725794,"diagnostic only, not a significance test"
fractional,2,13,0.5772247268434819,"diagnostic only, not a significance test"
fractional,3,13,0.48062326626485696,"diagnostic only, not a significance test"
fractional,4,13,0.4674107492314697,"diagnostic only, not a significance test"
fractional,5,13,0.2598912439445498,"diagnostic only, not a significance test"
fractional,6,13,0.0008835352044911153,"diagnostic only, not a significance test"
fractional,7,13,-0.19859520075361256,"diagnostic only, not a significance test"
fractional,8,13,-0.11599630036512373,"diagnostic only, not a significance test"
fractional,9,13,-0.02142007152915375,"diagnostic only, not a significance test"
fractional,10,13,-0.08216952115493005,"diagnostic only, not a significance test"
fractional,11,13,-0.03504392196662739,"diagnostic only, not a significance test"
fractional,12,13,0.07620611968468091,"diagnostic only, not a significance test"
integer,1,13,0.6855038524474026,"diagnostic only, not a significance test"
integer,2,13,0.5519750368374702,"diagnostic only, not a significance test"
integer,3,13,0.4523276222099891,"diagnostic only, not a significance test"
integer,4,13,0.47104259292961015,"diagnostic only, not a significance test"
integer,5,13,0.24528880190230337,"diagnostic only, not a significance test"
integer,6,13,-0.004494470958035568,"diagnostic only, not a significance test"
integer,7,13,-0.22364528092225455,"diagnostic only, not a significance test"
integer,8,13,-0.094463110186159,"diagnostic only, not a significance test"
integer,9,13,-0.0736314877797179,"diagnostic only, not a significance test"
integer,10,13,-0.05959537035586877,"diagnostic only, not a significance test"
integer,11,13,-0.1339611028314388,"diagnostic only, not a significance test"
integer,12,13,0.08071773042468504,"diagnostic only, not a significance test"
persistence,1,13,-0.26631355508447896,"diagnostic only, not a significance test"
persistence,2,13,0.27539187406469834,"diagnostic only, not a significance test"
persistence,3,13,0.23329774070966355,"diagnostic only, not a significance test"
persistence,4,13,0.2594561999919149,"diagnostic only, not a significance test"
persistence,5,13,-0.0089441354495899,"diagnostic only, not a significance test"
persistence,6,13,0.1065026819001785,"diagnostic only, not a significance test"
persistence,7,13,-0.05060433552015761,"diagnostic only, not a significance test"
persistence,8,13,0.1127009579879863,"diagnostic only, not a significance test"
persistence,9,13,0.09945186621177679,"diagnostic only, not a significance test"
persistence,10,13,0.09413949653296239,"diagnostic only, not a significance test"
persistence,11,13,0.22269300027925698,"diagnostic only, not a significance test"
persistence,12,13,0.5495479362343781,"diagnostic only, not a significance test"
seasonal_naive_12,1,13,0.4938305081557257,"diagnostic only, not a significance test"
seasonal_naive_12,2,13,0.43714417107812875,"diagnostic only, not a significance test"
seasonal_naive_12,3,13,0.13415398313708143,"diagnostic only, not a significance test"
seasonal_naive_12,4,13,0.17408601928786732,"diagnostic only, not a significance test"
seasonal_naive_12,5,13,0.2047829652449517,"diagnostic only, not a significance test"
seasonal_naive_12,6,13,0.08708192100691281,"diagnostic only, not a significance test"
seasonal_naive_12,7,13,0.08343328739511692,"diagnostic only, not a significance test"
seasonal_naive_12,8,13,0.12821411129679844,"diagnostic only, not a significance test"
seasonal_naive_12,9,13,0.14615642226358683,"diagnostic only, not a significance test"
seasonal_naive_12,10,13,0.26628665916193095,"diagnostic only, not a significance test"
seasonal_naive_12,11,13,0.37275898655177636,"diagnostic only, not a significance test"
seasonal_naive_12,12,13,0.5495479362343781,"diagnostic only, not a significance test"
SARIMA,1,13,0.09800197634978178,"diagnostic only, not a significance test"
SARIMA,2,13,0.19461900586132627,"diagnostic only, not a significance test"
SARIMA,3,13,0.24240710340973562,"diagnostic only, not a significance test"
SARIMA,4,13,-0.03552936290255143,"diagnostic only, not a significance test"
SARIMA,5,13,-0.13434816784835488,"diagnostic only, not a significance test"
SARIMA,6,13,-0.14244295940933246,"diagnostic only, not a significance test"
SARIMA,7,13,-0.029530161397659644,"diagnostic only, not a significance test"
SARIMA,8,13,0.07142970639024881,"diagnostic only, not a significance test"
SARIMA,9,13,0.09340366479282038,"diagnostic only, not a significance test"
SARIMA,10,13,0.24321846900633523,"diagnostic only, not a significance test"
SARIMA,11,13,0.4407422728716211,"diagnostic only, not a significance test"
SARIMA,12,13,0.5548538363056473,"diagnostic only, not a significance test"
