model,horizon,n_forecasts,RMSE,MAE,bias
fractional,1,13,688.8578857553218,602.5973606917184,-409.6016329936504
fractional,2,13,747.0053042553683,659.0569959776118,-514.7184597515644
fractional,3,13,975.0267389425103,809.63031122932,-730.1403974941752
fractional,4,13,1008.4322033920332,856.3126277660306,-782.1098860029776
fractional,5,13,1109.6505710997378,968.7991868188927,-934.3269654315216
fractional,6,13,1138.3234637901714,1024.0269666642953,-1024.0269666642953
fractional,7,13,1203.4520958544895,1125.6744366139353,-1125.6744366139353
fractional,8,13,1351.2267887679975,1256.1176627077198,-1256.1176627077198
fractional,9,13,1369.8317017734057,1279.2813121054428,-1279.2813121054428
fractional,10,13,1378.6258893922811,1283.3204590165271,-1283.3204590165271
fractional,11,13,1372.8905130346038,1275.2360772698257,-1275.2360772698257
fractional,12,13,1355.9841353776092,1234.9520311927458,-1234.9520311927458
integer,1,13,1185.7961452738227,1052.2441001777142,-1052.2441001777142
integer,2,13,1281.0705766942463,1164.036880504358,-1164.036880504358
integer,3,13,1530.8819375378198,1386.1562181595857,-1386.1562181595857
integer,4,13,1574.963502449497,1444.8331388520578,-1444.8331388520578
integer,5,13,1710.9663217874265,1603.7601493160741,-1603.7601493160741
integer,6,13,1770.6973516166754,1700.168169700039,-1700.168169700039
integer,7,13,1858.585227477182,1808.5188488462009,-1808.5188488462009
integer,8,13,2009.1860191470503,1945.6584166507416,-1945.6584166507416
integer,9,13,2037.3157976001908,1975.50999684476,-1975.50999684476
integer,10,13,2041.6810832995698,1986.2274573414873,-1986.2274573414873
integer,11,13,2048.762832824167,1984.810798317552,-1984.810798317552
integer,12,13,2022.4920716180497,1951.183078170772,-1951.183078170772
persistence,1,13,389.70225320601645,318.9230769230769,-100.46153846153847
persistence,2,13,494.2705581110255,408.15384615384613,-201.53846153846155
persistence,3,13,709.9985915478987,505.6923076923077,-412.9230769230769
persistence,4,13,720.2873892252475,557.7692307692307,-460.84615384615387
persistence,5,13,832.4766108980526,699.9230769230769,-609.0
persistence,6,13,845.8559615515562,712.4615384615385,-694.6153846153846
persistence,7,13,964.205930765351,847.8461538461538,-792.1538461538462
persistence,8,13,1077.2492033665405,943.5384615384615,-918.4615384615385
persistence,9,13,1120.3573949002578,979.1538461538462,-937.4615384615385
persistence,10,13,1170.2940787550926,974.6923076923077,-937.3076923076923
persistence,11,13,1175.945675092702,971.6153846153846,-925.0
persistence,12,13,1152.9582019243437,1016.1538461538462,-880.4615384615385
seasonal_naive_12,1,13,1090.6381335995632,1029.8461538461538,-495.0769230769231
seasonal_naive_12,2,13,1049.8347855367897,1002.9230769230769,-744.6153846153846
seasonal_naive_12,3,13,1170.5403748828014,1105.8461538461538,-944.9230769230769
seasonal_naive_12,4,13,1182.5561297460683,1118.3846153846155,-1118.3846153846155
seasonal_naive_12,5,13,1278.389551800955,1206.6153846153845,-1206.6153846153845
seasonal_naive_12,6,13,1239.1724906317368,1160.0,-1160.0
seasonal_naive_12,7,13,1237.4084892349692,1157.4615384615386,-1157.4615384615386
seasonal_naive_12,8,13,1258.4132255161046,1187.5384615384614,-1187.5384615384614
seasonal_naive_12,9,13,1207.9267043479597,1105.076923076923,-1105.076923076923
seasonal_naive_12,10,13,1189.9456677965143,1071.1538461538462,-1071.1538461538462
seasonal_naive_12,11,13,1190.7543827339036,1073.2307692307693,-999.8461538461538
seasonal_naive_12,12,13,1152.9582019243437,1016.1538461538462,-880.4615384615385
SARIMA,1,13,535.5474099013728,443.75531032457945,-310.1194456529266
SARIMA,2,13,595.8271489669029,479.89175759456066,-462.7803222805551
SARIMA,3,13,725.7840762087603,629.7906718034269,-604.5688304801296
SARIMA,4,13,841.7129415623646,712.3437696016268,-703.7028267416601
SARIMA,5,13,939.6535498611166,846.6801357904603,-846.6801357904603
SARIMA,6,13,1022.4205466077989,941.781720493969,-941.781720493969
SARIMA,7,13,1096.024089582696,994.9613849980556,-994.9613849980556
SARIMA,8,13,1161.5784418864696,1080.8371616388647,-1080.8371616388647
SARIMA,9,13,1213.9590975945955,1113.7148738801668,-1113.7148738801668
SARIMA,10,13,1242.8052137492132,1120.1467920642776,-1095.2092020595558
SARIMA,11,13,1291.7963394529736,1170.939613753741,-1101.0219401716918
SARIMA,12,13,1283.5829386002322,1127.155185854274,-1073.4342264998106
