model,horizon,n,bias,fraction_positive,fraction_negative
fractional,1,13,-409.6016329936504,0.3076923076923077,0.6923076923076923
fractional,2,13,-514.7184597515644,0.23076923076923078,0.7692307692307693
fractional,3,13,-730.1403974941752,0.15384615384615385,0.8461538461538461
fractional,4,13,-782.1098860029776,0.15384615384615385,0.8461538461538461
fractional,5,13,-934.3269654315216,0.07692307692307693,0.9230769230769231
fractional,6,13,-1024.0269666642953,0.0,1.0
fractional,7,13,-1125.6744366139353,0.0,1.0
fractional,8,13,-1256.1176627077198,0.0,1.0
fractional,9,13,-1279.2813121054428,0.0,1.0
fractional,10,13,-1283.3204590165271,0.0,1.0
fractional,11,13,-1275.2360772698257,0.0,1.0
fractional,12,13,-1234.9520311927458,0.0,1.0
integer,1,13,-1052.2441001777142,0.0,1.0
integer,2,13,-1164.036880504358,0.0,1.0
integer,3,13,-1386.1562181595857,0.0,1.0
integer,4,13,-1444.8331388520578,0.0,1.0
integer,5,13,-1603.7601493160741,0.0,1.0
integer,6,13,-1700.168169700039,0.0,1.0
integer,7,13,-1808.5188488462009,0.0,1.0
integer,8,13,-1945.6584166507416,0.0,1.0
integer,9,13,-1975.50999684476,0.0,1.0
integer,10,13,-1986.2274573414873,0.0,1.0
integer,11,13,-1984.810798317552,0.0,1.0
integer,12,13,-1951.183078170772,0.0,1.0
persistence,1,13,-100.46153846153847,0.38461538461538464,0.6153846153846154
persistence,2,13,-201.53846153846155,0.3076923076923077,0.6923076923076923
persistence,3,13,-412.9230769230769,0.3076923076923077,0.6923076923076923
persistence,4,13,-460.84615384615387,0.15384615384615385,0.8461538461538461
persistence,5,13,-609.0,0.23076923076923078,0.7692307692307693
persistence,6,13,-694.6153846153846,0.07692307692307693,0.9230769230769231
persistence,7,13,-792.1538461538462,0.15384615384615385,0.8461538461538461
persistence,8,13,-918.4615384615385,0.07692307692307693,0.9230769230769231
persistence,9,13,-937.4615384615385,0.07692307692307693,0.9230769230769231
persistence,10,13,-937.3076923076923,0.07692307692307693,0.9230769230769231
persistence,11,13,-925.0,0.07692307692307693,0.9230769230769231
persistence,12,13,-880.4615384615385,0.15384615384615385,0.8461538461538461
seasonal_naive_12,1,13,-495.0769230769231,0.23076923076923078,0.7692307692307693
seasonal_naive_12,2,13,-744.6153846153846,0.15384615384615385,0.8461538461538461
seasonal_naive_12,3,13,-944.9230769230769,0.07692307692307693,0.9230769230769231
seasonal_naive_12,4,13,-1118.3846153846155,0.0,1.0
seasonal_naive_12,5,13,-1206.6153846153845,0.0,1.0
seasonal_naive_12,6,13,-1160.0,0.0,1.0
seasonal_naive_12,7,13,-1157.4615384615386,0.0,1.0
seasonal_naive_12,8,13,-1187.5384615384614,0.0,1.0
seasonal_naive_12,9,13,-1105.076923076923,0.0,1.0
seasonal_naive_12,10,13,-1071.1538461538462,0.0,1.0
seasonal_naive_12,11,13,-999.8461538461538,0.07692307692307693,0.9230769230769231
seasonal_naive_12,12,13,-880.4615384615385,0.15384615384615385,0.8461538461538461
SARIMA,1,13,-310.1194456529266,0.23076923076923078,0.7692307692307693
SARIMA,2,13,-462.7803222805551,0.15384615384615385,0.8461538461538461
SARIMA,3,13,-604.5688304801296,0.07692307692307693,0.9230769230769231
SARIMA,4,13,-703.7028267416601,0.15384615384615385,0.8461538461538461
SARIMA,5,13,-846.6801357904603,0.0,1.0
SARIMA,6,13,-941.781720493969,0.0,1.0
SARIMA,7,13,-994.9613849980556,0.0,1.0
SARIMA,8,13,-1080.8371616388647,0.0,1.0
SARIMA,9,13,-1113.7148738801668,0.0,1.0
SARIMA,10,13,-1095.2092020595558,0.07692307692307693,0.9230769230769231
SARIMA,11,13,-1101.0219401716918,0.07692307692307693,0.9230769230769231
SARIMA,12,13,-1073.4342264998106,0.15384615384615385,0.8461538461538461
