profile_parameter,fixed_value,optimized_beta,optimized_sigma,optimized_gamma,optimized_d,optimized_alpha,calibration_rmse,delta_rmse,R0_diagnostic,optimizer_success
beta,0.036465414504161665,0.036465414504161665,0.010009917327649248,0.05000541557993059,0.0001390809165176636,0.9999869745788557,2680.4404873236567,2075.3916063204515,0.639310940867302,True
beta,0.056314475382282916,0.056314475382282916,0.010220519306527481,0.05000098351547129,0.0001015253387321377,0.9998723263703536,797.1538707976898,192.10498979448482,0.9901767797650751,True
beta,0.06954718263436376,0.06954718263436376,0.010005136017120803,0.05152729847209822,0.00025183246997092026,0.9636394961464849,604.7476041100605,-0.301276893144518,1.181569573378996,True
beta,0.07616353626040417,0.07616353626040417,0.010138162992725575,0.052905366181647914,0.0038831107681681076,0.962523558308364,605.2445193999969,0.19563839679187822,1.1836259989834745,True
beta,0.16854718263436375,0.16854718263436375,0.010027007003388072,0.09199277922763567,0.03600422414451062,0.9626374009983394,608.0966204682977,3.047739465092718,1.1735237577017688,True
beta,0.3533144753822829,0.3533144753822829,0.010175802930635636,0.24281237154896632,0.028829486659224957,0.9627337461798695,610.328811891929,5.279930888724039,1.1662298343725797,True
beta,0.6304654145041616,0.6304654145041616,0.010030004252655267,0.2999750968043723,0.049900831043647786,0.8897723333116816,1033.7572209816942,428.7083399784892,1.6148758715364961,True
gamma,0.05272232518112419,0.07486993118971152,0.010170085643090243,0.05272232518112419,0.0032209771345331553,0.9628476800934782,605.1562525177983,0.10737151459329652,1.1811245475370533,True
gamma,0.05476406906696734,0.09032558852092082,0.010010850477755379,0.05476406906696734,0.012708540014835486,0.9624540196660933,605.9588832782391,0.9100022750341168,1.1835820195713513,True
gamma,0.05612523165752943,0.07568426509447584,0.01001157445839479,0.05612523165752943,0.0005960238643064955,0.964192227733089,605.0892023625729,0.04032135936790837,1.1760579854228188,True
gamma,0.05680581295281048,0.11927433240155888,0.010066325297883344,0.05680581295281048,0.03337708771240275,0.9629915059629597,606.9984869060357,1.94960590283074,1.1748408072512841,True
gamma,0.08112523165752944,0.12082316047676994,0.010038187500422235,0.08112523165752944,0.010189647136360322,0.9632808636312213,607.1119472573639,2.0630662541589118,1.1751919532225592,True
gamma,0.12976406906696733,0.17893382363736537,0.01001670282526726,0.12976406906696733,0.006696463216068215,0.9635047081410688,608.2953778880692,3.2464968848642,1.1690832680351897,True
gamma,0.20272232518112418,0.26883011169715676,0.010139446517277162,0.20272232518112418,0.003659399262371424,0.9636504601924722,609.701545929546,4.652664926341004,1.16601558979555,True
d,0.0001838075959446,0.3516932372714981,0.010107691852293155,0.2675402558299463,0.0001838075959446,0.9608203785722262,610.2385715864559,5.189690583250922,1.177004927313992,True
d,0.00024666329290305,0.3534696601873707,0.010024918273339678,0.2706968993051596,0.00024666329290305,0.962999804083494,609.6964328129518,4.647551809746801,1.1679850351582626,True
d,0.00028856709087535,0.13230795741687712,0.01012382395211417,0.09995324402234651,0.00028856709087535,0.9630965374275582,607.6513409489143,2.6024599457092563,1.174571191911749,True
d,0.0003095189898615,0.07675058784887673,0.010127222651124979,0.05664461146505191,0.0003095189898615,0.9615183340074045,605.5475123376555,0.49863133445046515,1.1892187917630623,True
d,0.00527856709087535,0.2956546023292538,0.010176760686269742,0.2214597048743305,0.00527856709087535,0.9629709975693562,609.8329642811823,4.784083277977288,1.1682299916907075,True
d,0.01521666329290305,0.40299196671439136,0.010203687584396992,0.29486310461900966,0.01521666329290305,0.9628900361662304,610.4076548833859,5.358773880180934,1.166226643857538,True
d,0.0301238075959446,0.11863755806439463,0.010022607497090164,0.06002845389574857,0.0301238075959446,0.9640602019346982,607.1730441341258,2.124163130920806,1.1684480900895393,True
alpha,0.6856044144853337,0.4414336140800699,0.49939965046409784,0.2942949219144054,0.04871208754502365,0.6856044144853337,1372.4897066976876,767.4408256944826,1.2798547802028473,True
alpha,0.8248077253493339,0.06809488404187097,0.49850482185055345,0.05011986724479091,0.00020212710245767415,0.8248077253493339,812.4739624211361,207.4250814179311,1.3205808740237468,True
alpha,0.9176099325920006,0.06549680069817693,0.05760860060114939,0.05158187161777866,0.00048460066501341756,0.9176099325920006,674.6598976276997,69.61101662449471,1.2077060841071166,True
alpha,0.9640110362133341,0.1769208234867395,0.010035577361666242,0.10998638279403973,0.025012520377372748,0.9640110362133341,608.5898995729506,3.5410185697455745,1.1685649282135249,True
alpha,0.9676099325920007,0.08813620167312464,0.0101457274597542,0.053856682061056385,0.013751173005677967,0.9676099325920007,608.68404836458,3.635167361375011,1.154172396476935,True
alpha,0.9748077253493338,0.06508261125075848,0.010002188239039533,0.05060191504043958,0.00037303788551877257,0.9748077253493338,621.6085104132635,16.559629410058506,1.12275213475494,True
alpha,0.9856044144853336,0.10168627237187805,0.010049053571403316,0.054271830433172255,0.02977379256629401,0.9856044144853336,674.030126357833,68.98124535462796,1.0735874031842823,True
