month,casos_workbook,casos_DATASUS,difference_DATASUS_minus_workbook
2001-01,8088,8088,0
2001-02,6542,6542,0
2001-03,8095,8095,0
2001-04,7305,7305,0
2001-05,7656,7656,0
2001-06,6805,6805,0
2001-07,6987,6987,0
2001-08,8065,8065,0
2001-09,6697,6697,0
2001-10,7524,7524,0
2001-11,6874,6874,0
2001-12,6627,6627,0
2002-01,8013,8013,0
2002-02,7346,7347,1
2002-03,7961,7961,0
2002-04,8771,8771,0
2002-05,7784,7784,0
2002-06,6713,6713,0
2002-07,7746,7746,0
2002-08,8330,8330,0
2002-09,7654,7654,0
2002-10,8200,8200,0
2002-11,7532,7532,0
2002-12,6809,6809,0
2003-01,8115,8115,0
2003-02,7985,7985,0
2003-03,7474,7474,0
2003-04,7975,7975,0
2003-05,8024,8024,0
2003-06,7082,7082,0
2003-07,7949,7949,0
2003-08,7585,7585,0
2003-09,8136,8136,0
2003-10,8521,8521,0
2003-11,7624,7624,0
2003-12,7303,7303,0
2004-01,7574,7574,0
2004-02,6743,6743,0
2004-03,8574,8574,0
2004-04,8089,8089,0
2004-05,7763,7763,0
2004-06,7314,7314,0
2004-07,7825,7825,0
2004-08,8232,8232,0
2004-09,7901,7901,0
2004-10,8016,8016,0
2004-11,7753,7753,0
2004-12,7196,7196,0
2005-01,7432,7432,0
2005-02,6748,6748,0
2005-03,8441,8441,0
2005-04,7958,7958,0
2005-05,8019,8019,0
2005-06,7781,7781,0
2005-07,7282,7282,0
2005-08,8391,8391,0
2005-09,7690,7690,0
2005-10,7186,7186,0
2005-11,7587,7587,0
2005-12,7541,7541,0
2006-01,7385,7385,0
2006-02,6687,6687,0
2006-03,8132,8132,0
2006-04,6804,6804,0
2006-05,7593,7594,1
2006-06,6984,6984,0
2006-07,7101,7101,0
2006-08,7722,7722,0
2006-09,6793,6793,0
2006-10,7005,7005,0
2006-11,6674,6674,0
2006-12,6151,6151,0
2007-01,7342,7342,0
2007-02,6204,6204,0
2007-03,8115,8115,0
2007-04,7266,7266,0
2007-05,7368,7368,0
2007-06,6591,6591,0
2007-07,7184,7184,0
2007-08,7564,7564,0
2007-09,6712,6712,0
2007-10,7465,7465,0
2007-11,6695,6695,0
2007-12,6094,6094,0
2008-01,7355,7355,0
2008-02,6646,6646,0
2008-03,7278,7278,0
2008-04,7612,7612,0
2008-05,6895,6895,0
2008-06,6929,6929,0
2008-07,7688,7688,0
2008-08,7797,7797,0
2008-09,7631,7631,0
2008-10,7564,7565,1
2008-11,6799,6799,0
2008-12,6574,6574,0
2009-01,7113,7113,0
2009-02,6452,6452,0
2009-03,8146,8146,0
2009-04,7514,7514,0
2009-05,7168,7169,1
2009-06,6702,6703,1
2009-07,7443,7443,0
2009-08,7368,7368,0
2009-09,7388,7388,0
2009-10,7285,7285,0
2009-11,7016,7016,0
2009-12,6723,6724,1
2010-01,6912,6912,0
2010-02,6403,6403,0
2010-03,8308,8308,0
2010-04,7049,7049,0
2010-05,6973,6973,0
2010-06,6621,6621,0
2010-07,7128,7128,0
2010-08,7389,7390,1
2010-09,7165,7165,0
2010-10,7210,7212,2
2010-11,7047,7047,0
2010-12,7176,7177,1
2011-01,7112,7113,1
2011-02,7269,7269,0
2011-03,7484,7484,0
2011-04,7558,7558,0
2011-05,7688,7688,0
2011-06,6940,6940,0
2011-07,7079,7080,1
2011-08,7992,7992,0
2011-09,7386,7386,0
2011-10,6994,6994,0
2011-11,7375,7376,1
2011-12,6936,6938,2
2012-01,7375,7375,0
2012-02,6774,6775,1
2012-03,7882,7882,0
2012-04,6927,6927,0
2012-05,7586,7586,0
2012-06,6787,6789,2
2012-07,7255,7255,0
2012-08,8014,8014,0
2012-09,6734,6734,0
2012-10,7606,7606,0
2012-11,6941,6941,0
2012-12,6302,6305,3
2013-01,7502,7502,0
2013-02,6209,6209,0
2013-03,7102,7104,2
2013-04,7696,7696,0
2013-05,6996,6996,0
2013-06,6953,6953,0
2013-07,7379,7379,0
2013-08,7931,7931,0
2013-09,7377,7378,1
2013-10,7789,7790,1
2013-11,6939,6939,0
2013-12,6335,6335,0
2014-01,7670,7670,0
2014-02,7040,7040,0
2014-03,6754,6754,0
2014-04,7260,7260,0
2014-05,7177,7178,1
2014-06,6322,6322,0
2014-07,7516,7516,0
2014-08,7124,7124,0
2014-09,7505,7506,1
2014-10,7470,7470,0
2014-11,6905,6905,0
2014-12,6470,6471,1
2015-01,7111,7111,0
2015-02,6160,6163,3
2015-03,7833,7833,0
2015-04,6880,6881,1
2015-05,6893,6894,1
2015-06,6916,6916,0
2015-07,7531,7533,2
2015-08,7463,7463,0
2015-09,7189,7189,0
2015-10,7345,7345,0
2015-11,7287,7288,1
2015-12,6844,6846,2
2016-01,7116,7118,2
2016-02,6800,6800,0
2016-03,8067,8065,-2
2016-04,7360,7361,1
2016-05,7315,7318,3
2016-06,7527,7530,3
2016-07,6991,6990,-1
2016-08,7702,7700,-2
2016-09,7030,7031,1
2016-10,6588,6587,-1
2016-11,7039,7040,1
2016-12,6672,6670,-2
2017-01,7581,7538,-43
2017-02,6842,6830,-12
2017-03,8706,8684,-22
2017-04,6792,6780,-12
2017-05,8115,8083,-32
2017-06,7405,7387,-18
2017-07,7238,7229,-9
2017-08,8128,8097,-31
2017-09,7462,7441,-21
2017-10,7830,7804,-26
2017-11,7468,7429,-39
2017-12,7027,6993,-34
2018-01,7990,7990,0
2018-02,6849,6849,0
2018-03,7956,7956,0
2018-04,8149,8149,0
2018-05,7912,7912,0
2018-06,7751,7751,0
2018-07,8134,8134,0
2018-08,8934,8934,0
2018-09,7673,7673,0
2018-10,8722,8722,0
2018-11,7725,7725,0
2018-12,6940,6940,0
2019-01,8358,8415,57
2019-02,7769,7754,-15
2019-03,7656,7613,-43
2019-04,8271,8241,-30
2019-05,8394,8349,-45
2019-06,7374,7340,-34
2019-07,8423,8375,-48
2019-08,8237,8202,-35
2019-09,8169,8147,-22
2019-10,8619,8569,-50
2019-11,7647,7610,-37
2019-12,7267,7234,-33
2020-01,8745,8784,39
2020-02,7448,7434,-14
2020-03,8638,8598,-40
2020-04,6243,6207,-36
2020-05,5660,5640,-20
2020-06,6502,6455,-47
2020-07,7127,7110,-17
2020-08,7087,7083,-4
2020-09,7550,7532,-18
2020-10,7539,7518,-21
2020-11,7159,7111,-48
2020-12,6716,6688,-28
2021-01,6948,6927,-21
2021-02,6815,6767,-48
2021-03,7592,7575,-17
2021-04,7006,6983,-23
2021-05,7022,6991,-31
2021-06,7379,7340,-39
2021-07,7803,7751,-52
2021-08,8378,8348,-30
2021-09,8406,8379,-27
2021-10,7989,7983,-6
2021-11,8306,8274,-32
2021-12,8132,8097,-35
2022-01,8022,7983,-39
2022-02,8262,8241,-21
2022-03,9563,9548,-15
2022-04,8215,8209,-6
2022-05,8932,8967,35
2022-06,8135,8221,86
2022-07,8647,8687,40
