month,casos_workbook,casos_DATASUS,difference_DATASUS_minus_workbook
2001-01,8088,5647,-2441
2001-02,6542,4720,-1822
2001-03,8095,5913,-2182
2001-04,7305,5458,-1847
2001-05,7656,5631,-2025
2001-06,6805,5038,-1767
2001-07,6987,5182,-1805
2001-08,8065,6095,-1970
2001-09,6697,4988,-1709
2001-10,7524,5649,-1875
2001-11,6874,5193,-1681
2001-12,6627,4826,-1801
2002-01,8013,5737,-2276
2002-02,7346,5358,-1988
2002-03,7961,6019,-1942
2002-04,8771,6927,-1844
2002-05,7784,6199,-1585
2002-06,6713,5307,-1406
2002-07,7746,6127,-1619
2002-08,8330,6501,-1829
2002-09,7654,6259,-1395
2002-10,8200,6738,-1462
2002-11,7532,6288,-1244
2002-12,6809,5726,-1083
2003-01,8115,6451,-1664
2003-02,7985,6424,-1561
2003-03,7474,6014,-1460
2003-04,7975,6528,-1447
2003-05,8024,6527,-1497
2003-06,7082,5698,-1384
2003-07,7949,6580,-1369
2003-08,7585,6340,-1245
2003-09,8136,6748,-1388
2003-10,8521,7092,-1429
2003-11,7624,6371,-1253
2003-12,7303,6287,-1016
2004-01,7574,6019,-1555
2004-02,6743,5439,-1304
2004-03,8574,6949,-1625
2004-04,8089,6653,-1436
2004-05,7763,6405,-1358
2004-06,7314,5933,-1381
2004-07,7825,6523,-1302
2004-08,8232,6718,-1514
2004-09,7901,6651,-1250
2004-10,8016,6763,-1253
2004-11,7753,6530,-1223
2004-12,7196,6109,-1087
2005-01,7432,5969,-1463
2005-02,6748,5525,-1223
2005-03,8441,6888,-1553
2005-04,7958,6606,-1352
2005-05,8019,6502,-1517
2005-06,7781,6497,-1284
2005-07,7282,6014,-1268
2005-08,8391,6927,-1464
2005-09,7690,6487,-1203
2005-10,7186,6062,-1124
2005-11,7587,6255,-1332
2005-12,7541,6415,-1126
2006-01,7385,6007,-1378
2006-02,6687,5501,-1186
2006-03,8132,6621,-1511
2006-04,6804,5703,-1101
2006-05,7593,6268,-1325
2006-06,6984,5707,-1277
2006-07,7101,5917,-1184
2006-08,7722,6513,-1209
2006-09,6793,5836,-957
2006-10,7005,5866,-1139
2006-11,6674,5644,-1030
2006-12,6151,5329,-822
2007-01,7342,5797,-1545
2007-02,6204,4963,-1241
2007-03,8115,6700,-1415
2007-04,7266,5975,-1291
2007-05,7368,6050,-1318
2007-06,6591,5486,-1105
2007-07,7184,5876,-1308
2007-08,7564,6333,-1231
2007-09,6712,5622,-1090
2007-10,7465,6365,-1100
2007-11,6695,5604,-1091
2007-12,6094,5140,-954
2008-01,7355,5915,-1440
2008-02,6646,5392,-1254
2008-03,7278,5941,-1337
2008-04,7612,6332,-1280
