"Ano Diagnóstico";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"2001";5957;4816;5998;5517;5703;5063;5218;6097;4996;5672;5233;4886;65156
"2002";5911;5571;6056;6975;6235;5368;6190;6514;6244;6788;6283;5685;73820
"2003";6695;6517;6210;6542;6571;5816;6620;6329;6777;7080;6382;6173;77712
"2004";6270;5552;7056;6722;6400;6010;6474;6796;6585;6780;6511;6037;77193
"2005";6212;5585;6973;6590;6639;6485;6018;7000;6464;6032;6303;6329;76630
"2006";6101;5593;6781;5663;6323;5797;5961;6528;5742;5871;5687;5192;71239
"2007";6101;5173;6783;6058;6105;5530;6023;6395;5641;6357;5606;5089;70861
"2008";6134;5540;6098;6334;5757;5806;6454;6571;6420;6326;5777;5591;72808
"2009";5904;5367;6725;6238;6032;5628;6252;6189;6209;6155;5923;5637;72259
"2010";5716;5275;6809;5838;5698;5415;5910;6120;5937;6003;5857;6025;70603
"2011";5857;5992;6216;6250;6435;5718;5754;6587;6088;5737;6123;5788;72545
"2012";5992;5576;6462;5700;6266;5547;5954;6542;5560;6306;5743;5168;70816
"2013";6190;5095;5781;6290;5694;5649;6004;6560;6020;6458;5748;5201;70690
"2014";6253;5767;5452;5837;5836;5148;6134;5814;6094;6130;5687;5342;69494
"2015";5694;4952;6279;5550;5493;5617;6077;6002;5837;5968;5884;5649;69002
"2016";5707;5497;6461;5925;5887;6051;5632;6181;5654;5340;5740;5479;69554
"2017";6073;5490;7073;5427;6449;5910;5837;6488;6002;6333;6031;5658;72771
"2018";6383;5537;6371;6528;6334;6212;6569;7233;6248;7039;6281;5592;76327
"2019";6739;6203;6090;6652;6680;5898;6760;6603;6608;6937;6186;5854;77210
"2020";6968;5989;6821;4872;4443;5104;5631;5610;6004;6019;5686;5367;68514
"2021";5394;5304;5990;5463;5517;5818;6101;6610;6608;6294;6560;6236;71895
"2022";6103;6454;7529;6359;6921;6284;6736;7389;6775;6706;6322;6402;79980
"Total";134354;122845;142014;133330;133418;125874;134309;142158;134513;138331;131553;124380;1597079
&
