"Ano In. Tratamento";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"Em Branco/ign";24111;-;-;-;1;-;1;-;-;-;-;-;497;24610
"<1975";-;-;-;1;-;-;-;1;-;-;-;-;-;2
"2001";-;5647;4720;5913;5458;5631;5038;5182;6095;4988;5649;5193;4826;64340
"2002";-;5737;5358;6019;6927;6199;5307;6127;6501;6259;6738;6288;5726;73186
"2003";-;6451;6424;6014;6528;6527;5698;6580;6340;6748;7092;6371;6287;77060
"2004";-;6019;5439;6949;6653;6405;5933;6523;6718;6651;6763;6530;6109;76692
"2005";-;5969;5525;6888;6606;6502;6497;6014;6927;6487;6062;6255;6415;76147
"2006";-;6007;5501;6621;5703;6268;5707;5917;6513;5836;5866;5644;5329;70912
"2007";-;5797;4963;6700;5975;6050;5486;5876;6333;5622;6365;5604;5140;69911
"2008";-;5915;5392;5941;6332;5657;5768;6329;6510;6455;6329;5783;5539;71950
"2009";-;5702;5261;6602;6292;5968;5555;6212;6122;6142;6151;5884;5748;71639
"2010";-;5487;5098;6643;5806;5647;5322;5861;6029;5895;5947;5716;6078;69529
"2011";-;5634;5844;6105;6225;6291;5628;5762;6466;6132;5690;5936;5884;71597
"2012";-;5769;5371;6438;5599;6140;5568;5796;6472;5530;6252;5745;5264;69944
"2013";-;5949;5050;5691;6133;5689;5529;5924;6486;5977;6239;5737;5069;69473
"2014";-;6041;5663;5189;5755;5705;5039;5993;5791;5998;6057;5583;5292;68106
"2015";-;5450;4831;6168;5496;5330;5577;5953;5918;5815;5918;5803;5659;67918
"2016";-;5427;5239;6318;5903;5743;5847;5633;6086;5638;5201;5577;5499;68111
"2017";-;5790;5438;6758;5385;6248;5835;5678;6459;5908;6137;5892;5698;71226
"2018";-;6031;5323;6299;6330;6224;6044;6322;7085;6173;7016;6180;5578;74605
"2019";-;6469;6077;5878;6524;6584;5736;6619;6526;6433;6775;6058;5877;75556
"2020";-;6670;5718;6664;4758;4311;4915;5477;5449;5822;5885;5452;5374;66495
"2021";-;5154;5081;5803;5296;5310;5537;5959;6309;6375;6185;6228;6198;69435
"2022";-;5590;6252;7244;6186;6724;6032;6542;7109;6596;6448;6177;6243;77143
"2023";-;766;177;112;59;61;36;24;16;25;10;18;16;1320
"2024";-;5;17;15;8;12;10;7;10;6;7;7;4;108
"2025";-;4;4;5;8;1;7;7;4;6;8;1;4;59
"2026";-;3;2;-;-;-;-;-;-;-;-;-;-;5
"Total";24111;129483;119768;138978;131946;131227;123652;132318;140274;133517;136790;129662;125353;1597079
&
