model,baseline,horizon,metric,error_model,error_baseline,skill,n_forecasts
fractional,persistence,1,RMSE,688.8578857553218,389.7022532060165,-0.7676517907920755,13
fractional,persistence,1,MAE,602.5973606917184,318.9230769230769,-0.8894755641563774,13
fractional,persistence,2,RMSE,747.0053042553683,494.2705581110255,-0.5113287489957521,13
fractional,persistence,2,MAE,659.0569959776118,408.15384615384613,-0.6147269030736815,13
fractional,persistence,3,RMSE,975.0267389425104,709.9985915478987,-0.3732798213258594,13
fractional,persistence,3,MAE,809.63031122932,505.6923076923077,-0.6010334721602009,13
fractional,persistence,4,RMSE,1008.4322033920332,720.2873892252475,-0.4000414535602503,13
fractional,persistence,4,MAE,856.3126277660306,557.7692307692307,-0.5352453676676869,13
fractional,persistence,5,RMSE,1109.6505710997378,832.4766108980526,-0.3329510482014355,13
fractional,persistence,5,MAE,968.7991868188928,699.9230769230769,-0.3841509428119141,13
fractional,persistence,6,RMSE,1138.3234637901714,845.8559615515562,-0.3457651367759367,13
fractional,persistence,6,MAE,1024.0269666642953,712.4615384615385,-0.4373084179049706,13
fractional,persistence,7,RMSE,1203.4520958544897,964.205930765351,-0.248127663868686,13
fractional,persistence,7,MAE,1125.6744366139353,847.8461538461538,-0.3276871417148574,13
fractional,persistence,8,RMSE,1351.2267887679975,1077.2492033665403,-0.2543307384635256,13
fractional,persistence,8,MAE,1256.1176627077198,943.5384615384615,-0.3312840058046924,13
fractional,persistence,9,RMSE,1369.8317017734057,1120.3573949002578,-0.2226738610453478,13
fractional,persistence,9,MAE,1279.2813121054428,979.1538461538462,-0.3065171700346261,13
fractional,persistence,10,RMSE,1378.6258893922811,1170.2940787550926,-0.178016632245805,13
fractional,persistence,10,MAE,1283.3204590165271,974.6923076923076,-0.3166416200153779,13
fractional,persistence,11,RMSE,1372.8905130346038,1175.945675092702,-0.1674778368706329,13
fractional,persistence,11,MAE,1275.2360772698255,971.6153846153846,-0.312490618676885,13
fractional,persistence,12,RMSE,1355.9841353776092,1152.9582019243437,-0.1760913215365529,13
fractional,persistence,12,MAE,1234.9520311927458,1016.1538461538462,-0.2153199398566008,13
fractional,seasonal_naive_12,1,RMSE,688.8578857553218,1090.6381335995632,0.3683900603385268,13
fractional,seasonal_naive_12,1,MAE,602.5973606917184,1029.8461538461538,0.4148666201828249,13
